product_name,overall_rating,rating,title,cleaned_review
"MILTON Shine 800 Stainless Steel Water Bottle, Purple 700 ml Bottle Reviews",3.5,5,Best in the market!,nice
MILTON Copper Charge 1000 930 ml Bottle Reviews,4.0,5,Mind-blowing purchase,nice
PERCH Oasis Hot and Cold Thermosteel ISI Certified Vacuum Insulated Water Bottle 760 ml Bottle Reviews,4.4,5,Super!,good
MILTON Duo Dlx 750 ml Bottle Reviews,4.4,5,Brilliant,wow
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Terrific,nice
Rema Sports-Pot-1000 1100 ml Bottle Reviews,4.0,3,Fair,good received
Flipkart SmartBuy Single Walled Stainless Steel 4000 ml Bottle Reviews,4.0,4,Good choice,bad
"BOROSIL Grip n Sip Stainless Steel Water Bottle, Single Wall, BPA Free 750 ml Bottle Reviews",4.0,5,Excellent,excellent performance
Apeiron Stainless Steel Fridge Water Bottle Silver (Pack of 6) 1000 ml Bottle Reviews,3.8,5,Simply awesome,loved kids
Sentricus Round Diamond 6PCS Premium Water Fridge Bottles (Set Of 6) 1000 ml Bottle Reviews,4.3,1,Utterly Disappointed,cap good pasting
cello Puro Steel-X Royce 900 | PU Insulation | Leak Proof | Wide Mouth | 730 ml Bottle Reviews,4.1,4,Good quality product,best range
MILTON VIVA TUF JUG 1000 1000 ml Flask Reviews,4.1,4,Value-for-money,best item thes teashop bekary
"pexpo 12 Hrs Hot and Cold Water Bottle,Stainless Vacuum Insulated Cameo 300 ml Flask Reviews",4.1,5,Awesome,bottle nice useful nice material looks good keeps water hot cold
"pexpo 24 Hrs Hot and Cold ISI Certified , Electro Vacuum insulated Water Bottle 1000 ml Flask Reviews",4.3,4,Wonderful,nice product
MILTON Super 750 650 ml Bottle Reviews,3.8,5,Excellent,nice
MILTON New Smarty 900 Thermosteel Hot and Cold 730 ml Bottle Reviews,4.3,4,Wonderful,good
MILTON VERTEX 700 ml Flask Reviews,4.4,5,Excellent,nice helpful
Rema Sports-Pot-1000 1100 ml Bottle Reviews,4.0,4,Good choice,nice product value money
MILTON Crown 900 750 ml Flask Reviews,4.3,1,Absolute rubbish!,new bottle smell going even multiple uses cleaned baking soda lemon hot water still issue remains along smell taste water also getting becomes unable drink pls suggest help resolve issue good experience
"pexpo Sports and Hiking Stainless Steel Water Bottle, Chromo 750 ml Bottle Reviews",4.1,5,Great product,excellent product buy
pexpo Bravo Hot and Cold ISI Certified Vacuum insulated Water Bottle 1000 ml Flask Reviews,4.2,4,Very Good,osssm liked product bottle good useful
"MILTON Active 1000 Stainless Steel Water Bottle, Sky Blue 885 ml Bottle Reviews",3.9,5,Excellent,gud one
pexpo 1000ml Vacuum Insulated Water Bottle with Jute-bag 24 Hrs Hot and Cold Fererro 1000 ml Flask Reviews,4.3,4,Nice product,value mon
cello Puro -X Benz 900 | PU Insulation | Leak Proof| Wide Mouth & Easy to Open | 730 ml Bottle Reviews,4.0,5,Classy product,best bottle ever seen affordable rate pls buy product value nice product
pexpo Altros Stainless Steel Hot and Cold Vacuum Insulated Water Bottle 940 ml Flask Reviews,4.4,5,Best in the market!,must buy
MB Creation Unbreakable Water Bottle 1 L with Motivational 1000 ml Bottle Reviews,3.8,5,Wonderful,wow bottle love inside bottle stickers colour wow wow wow great bottle
"MILTON Helix 1000 Pet Water Bottle, Set of 3, 1 Litre Each, Blue 1000 ml Bottle Reviews",4.2,5,Great product,nice product
pexpo 1800ml 24 Hrs Hot and Cold Water Bottle with Jute-bag Vacuum Insulated Electro 1800 ml Flask Reviews,4.3,4,Very Good,good product
"MILTON Helix 1000 Pet Water Bottle, Set of 2, 1 Litre Each, Purple 1000 ml Bottle Reviews",4.2,3,Does the job,print good one scratch enough ruine design
SPEEDEX Stainless Steel Water Bottle for Kids fridge School Gym Home office Boys Girls 1000 ml Bottle Reviews,4.0,5,Worth every penny,bottle good beyond expectations
MILTON New Crown 600 Thermosteel Hot or Cold Water Bottle 500 ml Flask Reviews,4.3,5,Just wow!,awesome product value money
AVATAR 1000 ML 142 STEEL WATER BOTTLE PACK OF 1 1000 ml Bottle Reviews,4.0,5,Highly recommended,good product
"pexpo 24 Hrs Hot & Cold ISI Certified Vacuum Insulated Ombre Steel Bottle,Electro 1000 ml Flask Reviews",4.3,3,Good,good product kudos ekart delivering time
"pexpo Sports and Hiking Stainless Water,Chromo - Xtreme 1000 ml Bottle Reviews",4.1,3,Fair,good
Pigeon Inox Hydra 900 ml Bottle Reviews,4.1,3,Just okay,water becomes hot drink even hours
"cello H2O,1 Litre, Colour Assorted 1000 ml Bottle Reviews",4.5,4,Value-for-money,gud packing bottles good condition colour different colours gud bottles also hard
"pexpo 24 Hrs Hot & Cold ISI Certified,Oslo With Printed Design Vacuum insulated Bottle 750 ml Flask Reviews",4.3,5,Classy product,nice product good
MILTON Atlantis 600 Thermosteel Hot and Cold Water Bottle 500 ml Flask Reviews,4.3,5,Terrific purchase,product milton never disappoint us product really nice
"pexpo 24 Hrs Hot and Cold Vacuum Insulated Water Bottle With Carry Handle, Echo 1500 ml Flask Reviews",4.3,5,Super!,water temperature lasting hrs easy carry worthy item
cello H2O 1000 Fridge Water Bottle with Plastic Cap|Light weight|Leak proof 920 ml Bottle Reviews,4.5,4,Good quality product,nice product must buy
cello Puro -X Benz 900 | PU Insulation | Leak Proof| Wide Mouth & Easy to Open | 730 ml Bottle Reviews,4.0,5,Brilliant,quality check wait days members beautiful item
Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml - PET Reviews,4.3,5,Classy product,super product qualitywise lookwise best product ever
BOLDFIT Sports Gallon Gym For Men & Women 2000 ml Bottle Reviews,4.2,5,Terrific purchase,good size store water like bottle design true whats said super quality great botyle
MILTON Crown 1100 Water 1090 ml Bottle Reviews,3.9,4,Good choice,bottle shape exactly shown picture otherwise everything good recommend buy product
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Perfect product!,cold hot trusted
MILTON Convey 900 Insulated Inner Water 630 ml Bottle Reviews,4.1,5,Super!,good
BELLERBIRD by BELLERBIRD SQUARE SHAPE 6 set Premium Water Fridge Bottles Set Of 6 1000 ml Bottle 1000 ml Bottle Reviews,4.1,5,Brilliant,love thi product go
"pexpo 1000ml 24 Hrs Hot and Cold Water Bottle,Stainless Steel Vacuum Insulated Electro 1000 ml Flask Reviews",4.3,5,Best in the market!,light weight water coolest upto hrs
The Better Home 2000 Insulated Stainless Steel Water Bottle 1.9 Litres|Insulated Thermos Flask 1900 ml Flask Reviews,4.1,5,Brilliant,nice product shown image water capacity good
SeaRegal 3 pcs Unbreakable Water Bottle with Motivational Time Marker 2000 ml Bottle Reviews,4.2,4,Wonderful,good
"pexpo Stainless Steel Vacuum Insulated Cosmo Carafe, Hot and Cold Tea/Coffee 1500 ml Flask Reviews",3.8,5,Mind-blowing purchase,great jug earlier skeptical tried really good love quality jug love design keeps tea warm keeps warm hours atleast love would recommend
Sentricus H2O Round Multicolor 6 Pcs Fridge Water Bottle ( Set Of 6 ) 1000 ml Bottle Reviews,4.2,1,Waste of money!,bad quality bottle cap lluse
MILTON Beverage Dispenser 3.58 l Flask Reviews,4.2,4,Nice product,best product
MILTON PRUDENT 500 Orange 510 ml Flask Reviews,4.4,5,Terrific,awesome
"MILTON Handy 850 Stainless Steel Water Bottle, Black 780 ml Bottle Reviews",4.1,5,Terrific,really awesome gud one
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Simply awesome,nice product
"BOROSIL Hydra Thermo Vacuum Insulated Water Bottle with Bag, 24 hrs Hot and Cold 1000 ml Flask Reviews",4.3,4,Very Good,good product go
"BOROSIL Grip n Sip 1000ml Water,Single Wall, Leakproof, BPA Free, 1000 ml Bottle Reviews",4.1,5,Mind-blowing purchase,best product
pexpo 24 Hrs Hot and Cold Vacuum Insulated Water Bottle with Jute-bag Fererro 1500 ml Flask Reviews,4.3,4,Good quality product,bottal good working store hote hot think point hot cold works wants buy go one thing plastic quality good buts ok otherwise superb
Dhara Stainless Steel 24 PLUS Double Wall Vacuum Insulated 24 Hours Hot and Cold Thermosteel Flask 1000 ml Bottle Reviews,4.3,4,Value-for-money,good
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,4,Value-for-money,good
"pexpo 24 Hrs Hot and Cold ISI Certified , Evoke Vacuum insulated Water Bottle 500 ml Flask Reviews",4.3,4,Very Good,best product price range
"pexpo Sports and Hiking Stainless Steel,Chromo 1000 ml Bottle Reviews",4.1,5,Terrific purchase,nice product price
cello Kent Stainless Steel|Durable DTP Coating |Keep Beverage Hot/ Cold|Leaf Proof 900 ml Flask Reviews,4.3,5,Brilliant,good product quality loved
cello S.S Swift 500 ml Flask Reviews,4.3,5,Perfect product!,product awesome carrying handle love product
"MILTON Thermosteel Glassy Drinking Cup Lid, 500 ml Flask Reviews",4.3,5,Highly recommended,osm
ELINOR AMAZING SINGLE WALL STAINLESS STEEL WATERBOTTLE FOR KIDS AND ADULTS 1000 ml Bottle Reviews,4.1,5,Great product,bottle really good design look amazing bottle light weight bottle fully leak proof loved go guys
BELLERBIRD Premium Quality Square Shape water bottle set of fridge 1000 ml Bottle Reviews,4.1,3,Decent product,good
MFD 20 Ltr Plastic Water JAR 20000 ml COMBO JAR 200000 ml Bottle Reviews,4.1,2,Slightly disappointed,back stand properl
"pexpo 24 Hrs Hot and Cold ISI Certified , Evoke Vacuum insulated Water Bottle 500 ml Flask Reviews",4.3,5,Highly recommended,excellent product thankyou flipkart
Usha Shriram Pure Water |Eco-Friendly|Non-Toxic|For Kids & Adults|Leak-Proof 950 ml Bottle Reviews,4.0,5,Great product,nic
ELINOR AMAZING SINGLE WALL STAINLESS STEEL WATERBOTTLE FOR KIDS AND ADULTS 1000 ml Bottle Reviews,4.1,4,Value-for-money,worth price
MILTON Thermosteel Glassy Drinking Cup Lid Pink 1000 ml Flask Reviews,4.5,5,Terrific,nice product
MILTON Copper Charge 1000 930 ml Bottle Reviews,4.0,3,Fair,nice
MILTON Oscar 1000 ml Bottle Reviews,4.1,2,Not good,bad bottle
"SPEEDEX ThermoFlask Water Bottle DoubleWall Vacuum Insulated Hot & Cold Water(Silver,500) 500 ml Flask Reviews",4.1,5,Brilliant,excellent good product
The Better Home 500 Insulated Water Bottle 500ml | Leak Proof Stainless Steel Thermos Flask 500 ml Bottle Reviews,4.3,5,Terrific purchase,build quality nice even design super cool impressed product
XAMILE Water Bottle with Straw & Time Marker - Leakproof & BPA Free 1000 ml Bottle Reviews,3.9,1,Waste of money!,good
Flipkart SmartBuy Single Walled Stainless Steel 4000 ml Bottle Reviews,4.0,5,Fabulous!,perfect
"MILTON Kool Convex 900 Insulated Inner Pet Water Bottle, 700 ml, Light Red 700 ml Bottle Reviews",4.2,5,Perfect product!,well
BELLERBIRD Premium Quality Square Shape water bottle set of fridge 1000 ml Bottle Reviews,4.1,5,Excellent,v nice
